Minimum_Temperature,Maximum_Temperature,Temperature,Dew_Point,Relative_Humidity,Wind_Speed,Wind_Direction,Precipitation,Visibility,Cloud_Cover,Sea_Level_Pressure,Weather_Type
75.2,75.2,75.2,60.8,60.93,3.4,10,0,1.2,0,1017,Smoke Or Haze
77.6,77.6,77.6,60.5,55.66,3.3,341,0,2.3,0,1016.3,Smoke Or Haze
78.8,78.8,78.8,59,50.73,5.8,360,0,1.9,0,1015,Smoke Or Haze
78.8,78.8,78.8,59,50.73,5.8,350,0,1.9,0,1014,Smoke Or Haze
78.9,78.9,78.9,60.2,52.75,4.7,357,0,2.3,8,1013.6,Smoke Or Haze
77,77,77,60.8,57.39,8.1,350,0,1.9,0,1013,Smoke Or Haze
75.2,75.2,75.2,60.8,60.93,4.7,340,0,1.9,0,1013,Smoke Or Haze
73.5,73.5,73.5,62.8,69.25,0,357,0,2.2,0,1014.3,Smoke Or Haze
71.6,71.6,71.6,64.4,78.06,0,0,0,1.2,0,1014,Mist
68,68,68,62.6,82.87,0,0,0,1.2,0,1014,Mist
68.4,68.4,68.4,63.7,84.73,0,0,0,2.1,0,1015.8,Mist
68,68,68,62.6,82.87,0,0,0,1.2,0,1015,Mist
66.2,66.2,66.2,62.6,88.19,0,0,0,1.2,0,1015,Mist
66.2,66.2,66.2,63,89.37,0,0,0,1.2,0,1015.9,"Mist, Smoke Or Haze"
66.2,66.2,66.2,62.6,88.19,0,0,0,1.2,0,1015,Mist
64.4,64.4,64.4,60.8,88.1,0,0,0,1.2,0,1014,Mist
64.6,64.6,64.6,61.5,89.64,0,360,0,1.2,0,1015.1,Smoke Or Haze
62.6,62.6,62.6,60.8,93.84,4.7,290,0,0.6,0,1014,Mist
62.6,62.6,62.6,59,88.01,4.7,330,0,1.2,0,1014,Mist
63.5,63.5,63.5,60.9,91.44,0.8,360,0,1.2,0,1015,"Mist, Smoke Or Haze"
60.8,60.8,60.8,57.2,87.93,4.7,30,0,0.6,0,1014,Mist
62.6,62.6,62.6,59,88.01,4.7,350,0,0.6,37.3,1015,Mist
67.9,67.9,67.9,61.7,80.46,2.7,330,0,2.1,0,1016.9,"Mist, Smoke Or Haze"
69.8,69.8,69.8,60.8,73.11,4.7,350,0,1.2,0,1016,Mist
73.4,73.4,73.4,60.8,64.72,6.9,350,0,1.9,0,1016,Smoke Or Haze
77.2,77.2,77.2,60.7,56.97,2.9,326,0,2.3,0,1015.2,Smoke Or Haze
78.8,78.8,78.8,59,50.73,9.2,320,0,1.9,0,1014,Smoke Or Haze
80.6,80.6,80.6,59,47.82,9.2,330,0,1.9,27.5,1013,Smoke Or Haze
79.3,79.3,79.3,58,48.14,5.4,351,0,2.3,28.9,1012.4,Smoke Or Haze
78.8,78.8,78.8,59,50.73,8.1,340,0,1.9,27.5,1011,Smoke Or Haze
77,77,77,59,53.83,6.9,350,0,1.9,27.5,1011,Smoke Or Haze
74.2,74.2,74.2,60.5,62.21,1.7,360,0,2.3,35.6,1012.6,Smoke Or Haze
73.4,73.4,73.4,60.8,64.72,5.8,350,0,1.9,27.5,1012,Smoke Or Haze
71.6,71.6,71.6,59,64.5,3.4,30,0,1.9,27.5,1013,Smoke Or Haze
68.8,68.8,68.8,61.2,76.87,0,0,0,2.3,8.4,1014.7,"Mist, Smoke Or Haze"
66.2,66.2,66.2,60.8,82.75,3.4,10,0,1.2,0,1014,Mist
66.2,66.2,66.2,60.8,82.75,5.8,350,0,1.2,0,1015,Mist
67.6,67.6,67.6,61,79.32,2.6,11,0,2.1,8.4,1015.1,"Mist, Smoke Or Haze"
66.2,66.2,66.2,60.8,82.75,0,0,0,1.9,27.5,1014,Mist
64.4,64.4,64.4,60.8,88.1,3.4,350,0,1.2,27.5,1014,Mist
65,65,65,58.9,80.84,2.6,6,0,2.1,0,1014.4,Smoke Or Haze
62.6,62.6,62.6,59,88.01,8.1,330,0,1.9,0,1013,Mist
60.8,60.8,60.8,57.2,87.93,8.1,350,0,1.2,0,1014,Mist
61.6,61.6,61.6,57.4,86.05,3.3,14,0,2.1,0,1014.9,"Mist, Smoke Or Haze"
60.8,60.8,60.8,57.2,87.93,3.4,340,0,1.2,0,1015,Mist
60.8,60.8,60.8,57.2,87.93,4.7,340,0,1.2,0,1015,Mist
64.4,64.4,64.4,58.5,81.05,3.5,350,0,2.2,0,1016.5,Smoke Or Haze
66.2,66.2,66.2,59,77.62,6.9,330,0,1.2,0,1016,Mist
69.8,69.8,69.8,57.2,64.29,5.8,330,0,1.2,0,1015,Smoke Or Haze
73.6,73.6,73.6,58.3,58.76,4.1,360,0,2.1,0,1014.9,Smoke Or Haze
75.2,75.2,75.2,55.4,50.2,6.9,340,0,1.9,0,1013,Smoke Or Haze
77,77,77,55.4,47.28,4.7,30,0,1.9,0,1012,Smoke Or Haze
76.8,76.8,76.8,59.3,54.67,3.3,55,0,2.5,0,1012.6,Smoke Or Haze
77,77,77,57.2,50.46,5.8,310,0,2.5,0,1012,Smoke Or Haze
75.2,75.2,75.2,57.2,53.58,5.8,340,0,1.9,0,1012,Smoke Or Haze
72.1,72.1,72.1,58.2,61.76,1,320,0,2.3,0,1013.1,Smoke Or Haze
71.6,71.6,71.6,55.4,56.66,3.4,330,0,1.9,0,1013,Smoke Or Haze
69.8,69.8,69.8,57.2,64.29,3.4,340,0,1.9,0,1013,Smoke Or Haze
66.3,66.3,66.3,59.7,79.46,0,360,0,2.1,0,1014.8,Smoke Or Haze
64.4,64.4,64.4,59,82.63,0,0,0,1.2,0,1014,Mist
64.4,64.4,64.4,59,82.63,0,0,0,1.2,0,1014,Mist
63.8,63.8,63.8,59.8,86.72,0.5,340,0,2.1,0,1014.9,Smoke Or Haze
60.8,60.8,60.8,59,93.79,0,0,0,1.2,0,1014,Mist
60.8,60.8,60.8,59,93.79,0,0,0,1.2,0,1013,Mist
61.7,61.7,61.7,58.3,88.57,1.4,350,0,1.2,0,1013.7,"Mist, Smoke Or Haze"
59,59,59,57.2,93.75,3.4,350,0,1.2,0,1012,Mist
59,59,59,57.2,93.75,0,0,0,1.2,0,1012,Mist
61.5,61.5,61.5,58.1,88.53,1.5,16,0,1.2,0,1013.4,Smoke Or Haze
59,59,59,57.2,93.75,3.4,340,0,0.6,0,1014,Mist
60.8,60.8,60.8,59,93.79,3.4,350,0,0.6,0,1015,Mist
64.5,64.5,64.5,58.1,79.87,2.7,245,0,2.2,0,1016.3,Smoke Or Haze
68,68,68,59,72.94,5.8,340,0,1.9,0,1016,Smoke Or Haze
71.6,71.6,71.6,57.2,60.47,6.9,350,0,1.9,0,1015,Smoke Or Haze
75.6,75.6,75.6,56.2,51.01,6.4,357,0,2.5,0,1014.6,Smoke Or Haze
77,77,77,53.6,44.28,8.1,360,0,3.1,0,1013,Smoke Or Haze
77,77,77,51.8,41.45,8.1,360,0,3.1,0,1012,Smoke Or Haze
78,78,78,52.4,40.99,6,357,0,2.7,0,1011.6,Smoke Or Haze
77,77,77,53.6,44.28,8.1,340,0,3.1,0,1011,Smoke Or Haze
75.2,75.2,75.2,55.4,50.2,6.9,350,0,2.5,0,1011,Smoke Or Haze
72.7,72.7,72.7,57.1,58.08,1.7,360,0,2.5,0,1011.8,Smoke Or Haze
69.8,69.8,69.8,57.2,64.29,3.4,10,0,2.5,0,1012,Smoke Or Haze
68,68,68,57.2,68.38,3.4,20,0,1.9,0,1012,Smoke Or Haze
65.8,65.8,65.8,57.6,74.89,0,360,0,2.2,0,1014,Smoke Or Haze
64.4,64.4,64.4,55.4,72.58,0,0,0,1.9,0,1013,Mist
62.6,62.6,62.6,55.4,77.31,4.7,340,0,1.9,0,1013,Mist
63.4,63.4,63.4,58.6,84.47,3.7,3,0,2.1,0,1013.9,"Mist, Smoke Or Haze"
60.8,60.8,60.8,57.2,87.93,5.8,10,0,1.2,0,1013,Mist
60.8,60.8,60.8,57.2,87.93,6.9,10,0,1.2,0,1012,Mist
61,61,61,57.4,87.76,3.7,17,0,2.1,0,1013.1,"Mist, Smoke Or Haze"
59,59,59,57.2,93.75,4.7,20,0,1.2,0,1012,Mist
59,59,59,57.2,93.75,0,0,0,1.2,0,1012,Mist
58.6,58.6,58.6,55.5,89.24,0,0,0,2.1,0,1013.6,"Mist, Smoke Or Haze"
55.4,55.4,55.4,55.4,100,0,0,0,0.6,0,1014,Mist
59,59,59,55.4,87.84,0,0,0,0.6,0,1015,Mist
63.8,63.8,63.8,57.4,79.75,2.9,354,0,2.1,0,1016.6,"Mist, Smoke Or Haze"
66.2,66.2,66.2,53.6,63.85,11.4,360,0,1.9,0,1016,Smoke Or Haze
69.8,69.8,69.8,53.6,56.41,10.3,360,0,1.9,0,1015,Smoke Or Haze
73.7,73.7,73.7,53.5,49.37,6.7,360,0,2.5,0,1014.9,Smoke Or Haze
75.2,75.2,75.2,50,41.17,11.4,340,0,2.5,0,1013,Smoke Or Haze
75.2,75.2,75.2,50,41.17,11.4,350,0,3.1,0,1012,Smoke Or Haze
76.2,76.2,76.2,48.8,38.08,5.4,357,0,2.3,0,1012.5,Smoke Or Haze
75.2,75.2,75.2,46.4,35.97,9.2,360,0,2.5,0,1012,Smoke Or Haze
73.4,73.4,73.4,46.4,38.21,6.9,360,0,2.5,0,1011,Smoke Or Haze
70.1,70.1,70.1,51.1,50.94,2.9,3,0,2.3,0,1012.2,Smoke Or Haze
66.2,66.2,66.2,51.8,59.76,0,0,0,1.9,0,1012,Smoke Or Haze
64.4,64.4,64.4,51.8,63.62,0,0,0,1.9,0,1012,Smoke Or Haze
62.5,62.5,62.5,53.5,72.47,0,0,0,2.1,0,1013.7,Smoke Or Haze
60.8,60.8,60.8,51.8,72.22,0,0,0,1.2,0,1013,Smoke Or Haze
60.8,60.8,60.8,51.8,72.22,0,0,0,1.2,0,1013,Smoke Or Haze
60.3,60.3,60.3,53.1,77.17,0,0,0,2.1,0,1013.5,Smoke Or Haze
57.2,57.2,57.2,51.8,82.14,0,0,0,1.2,0,1012,Smoke Or Haze
57.2,57.2,57.2,51.8,82.14,0,0,0,1.2,0,1012,Smoke Or Haze
58.4,58.4,58.4,53.7,84.39,0,360,0,2.1,0,1012.3,Smoke Or Haze
55.4,55.4,55.4,51.8,87.66,4.7,360,0,1.2,0,1011,Mist
55.4,55.4,55.4,51.8,87.66,4.7,10,0,1.2,0,1012,Mist
57.7,57.7,57.7,54.4,88.62,1.4,10,0,1.2,0,1012.7,"Mist, Smoke Or Haze"
51.8,51.8,51.8,51.8,100,3.4,10,0,0,0,1012,Fog
53.6,53.6,53.6,53.6,100,0,0,0,0,100,1013,Fog
61.9,61.9,61.9,56.2,81.64,2.9,14,0,1.9,0,1014.7,"Mist, Smoke Or Haze"
60.8,60.8,60.8,57.2,87.93,4.7,340,0,1.2,0,1014,Mist
64.4,64.4,64.4,55.4,72.58,5.8,340,0,1.2,0,1014,Smoke Or Haze
74.1,74.1,74.1,50.9,44.16,3.5,32,0,2.3,0,1013,Smoke Or Haze
73.4,73.4,73.4,50,43.73,5.8,20,0,2.5,0,1012,Smoke Or Haze
77,77,77,50,38.78,6.9,350,0,2.5,0,1011,Smoke Or Haze
77.5,77.5,77.5,51.3,40.06,4.7,360,0,2.5,0,1010.3,Smoke Or Haze
77,77,77,48.2,36.26,8.1,360,0,2.5,0,1009,Smoke Or Haze
75.2,75.2,75.2,50,41.17,6.9,360,0,2.5,0,1010,Smoke Or Haze
71.7,71.7,71.7,54.3,54.18,0,360,0,2.5,0,1010.6,Smoke Or Haze
69.8,69.8,69.8,51.8,52.8,0,0,0,1.9,0,1011,Smoke Or Haze
64.4,64.4,64.4,51.8,63.62,0,0,0,1.9,0,1011,Smoke Or Haze
63.3,63.3,63.3,54.7,73.54,0,0,0,2.3,0,1012.6,Smoke Or Haze
60.8,60.8,60.8,53.6,77.15,0,0,0,1.2,0,1012,Mist
59,59,59,53.6,82.26,0,0,0,1.2,0,1012,Mist
60.1,60.1,60.1,54.7,82.16,0,0,0,2.1,0,1012.7,"Mist, Smoke Or Haze"
57.2,57.2,57.2,53.6,87.75,0,0,0,1.2,0,1012,Mist
57.2,57.2,57.2,53.6,87.75,0,0,0,1.2,0,1011,Mist
59.2,59.2,59.2,54.2,83.43,0,360,0,1.2,0,1012,"Mist, Smoke Or Haze"
57.2,57.2,57.2,53.6,87.75,0,0,0,1.2,0,1011,Mist
55.4,55.4,55.4,51.8,87.66,0,0,0,1.2,0,1011,Mist
56.9,56.9,56.9,53.9,89.8,0,0,0,1.2,0,1012.2,Mist
53.6,53.6,53.6,50,87.57,0,0,0,1.2,0,1012,Mist
57.2,57.2,57.2,51.8,82.14,0,0,0,1.2,0,1013,Mist
64.8,64.8,64.8,57.4,76.94,0.9,4,0,2.1,0,1014.8,"Mist, Smoke Or Haze"
68,68,68,57.2,68.38,4.7,20,0,1.9,0,1014,Smoke Or Haze
71.6,71.6,71.6,55.4,56.66,6.9,10,0,1.9,0,1014,Smoke Or Haze
76.9,76.9,76.9,51.1,40.64,4.1,6,0,2.5,0,1013.3,Smoke Or Haze
77,77,77,51.8,41.45,5.8,360,0,2.5,0,1011,Smoke Or Haze
78.8,78.8,78.8,51.8,39.06,6.9,30,0,2.5,0,1011,Smoke Or Haze
79.2,79.2,79.2,50.7,37.08,2.4,2,0,2.3,0,1010.5,Smoke Or Haze
78.8,78.8,78.8,48.2,34.17,8.1,20,0,2.5,0,1010,Smoke Or Haze
77,77,77,48.2,36.26,5.8,10,0,2.5,0,1009,Smoke Or Haze
73.2,73.2,73.2,54.1,51.13,2.9,17,0,2.3,0.5,1010.3,Smoke Or Haze
68,68,68,53.6,60,4.7,10,0,1.9,0,1010,Smoke Or Haze
68,68,68,53.6,60,0,0,0,1.9,0,1011,Smoke Or Haze
66.2,66.2,66.2,57.3,72.94,0,360,0,2.2,0,1012.5,Smoke Or Haze
64.4,64.4,64.4,57.2,77.46,0,0,0,1.2,0,1012,Mist
62.6,62.6,62.6,57.2,82.51,0,0,0,1.2,0,1012,Mist
63.6,63.6,63.6,58,81.89,0,0,0,2.1,0,1012.3,"Mist, Smoke Or Haze"
59,59,59,55.4,87.84,0,0,0,1.2,0,1011,Mist
59,59,59,55.4,87.84,0,0,0,1.2,0,1011,Mist
60.7,60.7,60.7,56.9,87.18,0,0,0,1.2,0,1011.4,"Mist, Smoke Or Haze"
57.2,57.2,57.2,53.6,87.75,0,0,0,1.2,0,1010,Mist
57.2,57.2,57.2,53.6,87.75,4.7,10,0,1.2,0,1011,Mist
59.3,59.3,59.3,56.6,90.71,0,0,0,1.2,0,1011.8,"Mist, Smoke Or Haze"
55.4,55.4,55.4,53.6,93.65,3.4,20,0,0.6,0,1012,Mist
57.2,57.2,57.2,53.6,87.75,3.4,20,0,0.6,0,1013,Mist
65,65,65,60.8,86.27,1.4,1,0,1.3,0,1014.4,"Mist, Smoke Or Haze"
71.6,71.6,71.6,53.6,53.06,5.8,30,0,1.9,0,1014,Smoke Or Haze
75.2,75.2,75.2,51.8,44,4.7,10,0,2.5,0,1014,Smoke Or Haze
78.3,78.3,78.3,55.4,45.36,3.3,14,0,2.5,0,1013.7,Smoke Or Haze
78.8,78.8,78.8,50,36.54,4.7,20,0,3.1,0,1011,Smoke Or Haze
80.6,80.6,80.6,50,34.45,4.7,50,0,3.1,0,1010,Smoke Or Haze
80.4,80.4,80.4,54.3,40.54,3.3,14,0,2.7,0,1010.3,Smoke Or Haze
80.6,80.6,80.6,53.6,39.34,5.8,10,0,3.1,0,1010,Smoke Or Haze
77,77,77,55.4,47.28,5.8,10,0,2.5,0,1009,Smoke Or Haze
73.9,73.9,73.9,58.8,59.23,0,360,0,2.5,0,1010.4,Smoke Or Haze
71.6,71.6,71.6,57.2,60.47,3.4,10,0,1.9,0,1010,Smoke Or Haze
68,68,68,57.2,68.38,0,0,0,1.9,0,1011,Smoke Or Haze
68,68,68,58.3,70.97,1,30,0,2.3,0,1011.8,Smoke Or Haze
68,68,68,55.4,64.07,3.4,50,0,1.9,0,1011,Smoke Or Haze
66.2,66.2,66.2,57.2,72.76,0,0,0,1.2,0,1011,Mist
65.7,65.7,65.7,58.3,76.8,0,0,0,2.1,0,1011.7,"Mist, Smoke Or Haze"
64.4,64.4,64.4,57.2,77.46,0,0,0,1.2,0,1011,Mist
62.6,62.6,62.6,57.2,82.51,0,0,0,1.2,0,1010,Mist
63.6,63.6,63.6,58,81.89,0,0,0,2.1,0,1011.2,"Mist, Smoke Or Haze"
60.8,60.8,60.8,57.2,87.93,0,0,0,1.2,0,1010,Mist
60.8,60.8,60.8,57.2,87.93,0,0,0,1.2,0,1010,Mist
62.1,62.1,62.1,59.1,89.79,0,0,0,1.2,0,1011.5,"Mist, Smoke Or Haze"
59,59,59,57.2,93.75,4.7,350,0,0.6,0,1012,Mist
62.6,62.6,62.6,57.2,82.51,4.7,10,0,0.6,0,1013,Mist
66.6,66.6,66.6,57.5,72.53,4.3,19,0,1.3,0.6,1014.5,"Mist, Smoke Or Haze"
69.8,69.8,69.8,55.4,60.24,9.2,20,0,1.9,27.5,1015,Smoke Or Haze
71.6,71.6,71.6,55.4,56.66,11.4,360,0,1.9,50,1014,Smoke Or Haze
73.8,73.8,73.8,58.7,59.14,7.4,17,0,2.3,8.7,1014.3,Smoke Or Haze
73.4,73.4,73.4,53.6,49.93,15,360,0,2.5,27.5,1013,Smoke Or Haze
73.4,73.4,73.4,51.8,46.74,16.1,10,0,2.5,27.5,1012,Smoke Or Haze
73.3,73.3,73.3,51.5,46.38,4.9,42,0,2.3,29.6,1012,Smoke Or Haze
71.6,71.6,71.6,51.8,49.67,12.8,20,0,2.5,27.5,1011,Smoke Or Haze
69.8,69.8,69.8,51.8,52.8,9.2,30,0,2.5,27.5,1011,Smoke Or Haze
68.5,68.5,68.5,54.2,60.12,2.9,44,0,2.5,36.5,1012.4,Smoke Or Haze
64.4,64.4,64.4,53.6,67.97,0,0,0,1.9,27.5,1012,Smoke Or Haze
62.6,62.6,62.6,53.6,72.4,0,0,0,1.9,27.5,1013,Smoke Or Haze
65.3,65.3,65.3,54.7,68.59,3,44,0,2.3,29.4,1013.7,Smoke Or Haze
62.6,62.6,62.6,53.6,72.4,0,0,0,1.9,27.5,1013,Smoke Or Haze
62.6,62.6,62.6,53.6,72.4,4.7,340,0,1.9,37.3,1013,Smoke Or Haze
64.3,64.3,64.3,55.1,71.98,0.8,16,0,2.3,53.1,1013.7,Smoke Or Haze
62.6,62.6,62.6,53.6,72.4,3.4,340,0,1.9,37.3,1012,Smoke Or Haze
60.8,60.8,60.8,55.4,82.39,2.2,340,0,1.9,37.3,1012,Smoke Or Haze
62.1,62.1,62.1,56.1,80.69,3,354,0,2.3,11.5,1012.7,Smoke Or Haze
60.8,60.8,60.8,55.4,82.39,3.4,340,0,1.2,37.3,1012,Smoke Or Haze
59,59,59,55.4,87.84,4.7,350,0,1.2,27.5,1012,Smoke Or Haze
60.7,60.7,60.7,56.5,86.02,4.7,354,0,2.1,29.1,1012.9,"Mist, Smoke Or Haze"
59,59,59,55.4,87.84,0,0,0,1.2,0,1013,Mist
60.8,60.8,60.8,55.4,82.39,4.7,20,0,1.2,0,1014,Mist
64.7,64.7,64.7,57.6,77.87,3.2,359,0,2.2,0,1015.7,Smoke Or Haze
68,68,68,57.2,68.38,8.1,360,0,1.9,0,1015,Smoke Or Haze
71.6,71.6,71.6,55.4,56.66,9.2,360,0,1.9,0,1015,Smoke Or Haze
75,75,75,56.2,52.13,4,359,0,2.3,0,1014.5,Smoke Or Haze
75.2,75.2,75.2,55.4,50.2,9.2,20,0,2.5,27.5,1013,Smoke Or Haze
75.2,75.2,75.2,53.6,47.01,8.1,350,0,2.5,50,1012,Smoke Or Haze
76,76,76,56.5,50.76,4,29,0,2.5,35.3,1012,Smoke Or Haze
75.2,75.2,75.2,51.8,44,8.1,20,0,2.5,27.5,1011,Smoke Or Haze
73.4,73.4,73.4,53.6,49.93,5.8,360,0,2.5,27.5,1011,Smoke Or Haze
71.2,71.2,71.2,56.9,60.6,2.9,20,0,2.3,8.2,1012.4,Smoke Or Haze
68,68,68,53.6,60,0,0,0,1.9,27.5,1012,Smoke Or Haze
64.4,64.4,64.4,53.6,67.97,0,0,0,1.9,27.5,1013,Smoke Or Haze
66.1,66.1,66.1,58,75.13,0,0,0,2.3,70.5,1013.8,Smoke Or Haze
64.4,64.4,64.4,55.4,72.58,0,0,0,1.9,37.3,1013,Smoke Or Haze
64.4,64.4,64.4,55.4,72.58,0,0,0,1.9,69.7,1013,Smoke Or Haze
65.2,65.2,65.2,57.3,75.72,2.2,41,0,2.3,55.8,1013.6,Smoke Or Haze
62.6,62.6,62.6,55.4,77.31,5.8,20,0,1.2,37.3,1012,Smoke Or Haze
62.6,62.6,62.6,57.2,82.51,5.8,20,0,1.2,37.3,1013,Mist
63.9,63.9,63.9,56,75.55,2.9,38,0,2.1,66.8,1012.9,"Mist, Smoke Or Haze"
60.8,60.8,60.8,55.4,82.39,5.8,360,0,1.2,37.3,1012,Mist
60.8,60.8,60.8,55.4,82.39,8.1,350,0,1.2,37.3,1012,Mist
61.5,61.5,61.5,52.5,72.28,3.8,5,0,2.3,66.8,1013.5,"Mist, Smoke Or Haze"
57.2,57.2,57.2,50,76.84,6.9,10,0,1.9,37.3,1014,Mist
60.8,60.8,60.8,50,67.56,8.1,10,0,1.9,27.5,1014,Smoke Or Haze
64.5,64.5,64.5,48,54.96,8.1,17,0,2.3,0,1016.4,Smoke Or Haze
66.2,66.2,66.2,46.4,48.86,11.4,10,0,1.9,0,1016,Smoke Or Haze
68,68,68,41,37.35,11.4,20,0,2.5,0,1016,Smoke Or Haze
71.2,71.2,71.2,44.9,38.87,6.8,17,0,2.5,0,1015.5,Smoke Or Haze
69.8,69.8,69.8,44.6,40.32,10.3,10,0,2.5,0,1014,Smoke Or Haze
71.6,71.6,71.6,42.8,35.4,9.2,30,0,2.5,0,1013,Smoke Or Haze
72.7,72.7,72.7,45,37.13,6,37,0,2.5,40.5,1012.7,Smoke Or Haze
71.6,71.6,71.6,44.6,37.92,9.2,20,0,2.5,0,1012,Smoke Or Haze
69.8,69.8,69.8,48.2,46.19,6.9,10,0,2.5,27.5,1011,Smoke Or Haze
68,68,68,51.3,55.3,2.2,37,0,2.3,0.4,1012.4,Smoke Or Haze
64.4,64.4,64.4,53.6,67.97,3.4,350,0,1.9,0,1012,Smoke Or Haze
62.6,62.6,62.6,53.6,72.4,3.4,20,0,1.9,0,1013,Smoke Or Haze
63,63,63,52,67.29,2.1,30,0,2.3,0,1014.1,Smoke Or Haze
60.8,60.8,60.8,50,67.56,5.8,10,0,1.9,0,1014,Smoke Or Haze
60.8,60.8,60.8,50,67.56,3.4,350,0,1.9,0,1014,Smoke Or Haze
60.4,60.4,60.4,51.7,72.93,2.6,17,0,2.3,0,1014.6,Smoke Or Haze
57.2,57.2,57.2,50,76.84,6.9,20,0,1.9,0,1013,Smoke Or Haze
57.2,57.2,57.2,50,76.84,5.8,10,0,1.9,0,1013,Smoke Or Haze
58.1,58.1,58.1,49.8,73.99,3,11,0,2.1,0,1013.6,"Mist, Smoke Or Haze"
55.4,55.4,55.4,50,82.01,4.7,350,0,1.2,0,1013,Mist
55.4,55.4,55.4,50,82.01,3.4,10,0,1.2,0,1013,Mist
56.3,56.3,56.3,47.7,72.9,3.8,11,0,2.1,0,1014.7,"Mist, Smoke Or Haze"
53.6,53.6,53.6,48.2,81.88,3.4,350,0,1.2,0,1015,Mist
57.2,57.2,57.2,48.2,71.85,3.4,20,0,1.2,0,1015,Smoke Or Haze
60.4,60.4,60.4,44,54.71,4.7,17,0,2.3,0,1017.4,Smoke Or Haze
62.6,62.6,62.6,42.8,48.31,11.4,20,0,1.9,0,1017,Smoke Or Haze
66.2,66.2,66.2,42.8,42.6,11.4,360,0,1.9,0,1017,Smoke Or Haze
70.6,70.6,70.6,42.5,36.23,6.7,11,0,2.5,0,1016.9,Smoke Or Haze
69.8,69.8,69.8,41,35.12,9.2,10,0,2.5,0,1015,Smoke Or Haze
71.6,71.6,71.6,41,33.03,8.1,360,0,2.5,0,1014,Smoke Or Haze
72.4,72.4,72.4,44.4,36.55,4.4,44,0,2.5,0,1014.1,Smoke Or Haze
71.6,71.6,71.6,44.6,37.92,5.8,20,0,2.5,0,1013,Smoke Or Haze
69.8,69.8,69.8,46.4,43.17,8.1,10,0,2.5,0,1013,Smoke Or Haze
67.1,67.1,67.1,47.3,49.04,4,3,0,2.3,0,1013.8,Smoke Or Haze
62.6,62.6,62.6,46.4,55.4,4.7,30,0,1.9,0,1013,Smoke Or Haze
60.8,60.8,60.8,46.4,59.04,5.8,10,0,1.9,0,1014,Smoke Or Haze
61.6,61.6,61.6,48.9,63.04,0.7,355,0,2.2,0,1015.3,Smoke Or Haze
